Date,District,Latitude,Longitude,Precip,Pressure,Humidity_2m,RH_2m,Temp_2m,WetBulbTemp_2m,MaxTemp_2m,MinTemp_2m,TempRange_2m,EarthSkinTemp,WindSpeed_10m,MaxWindSpeed_10m,MinWindSpeed_10m,WindSpeedRange_10m,WindSpeed_50m,MaxWindSpeed_50m,MinWindSpeed_50m,WindSpeedRange_50m,Year,Month,YearMonth
1981-07-13,Bardiya,28.3,81.4,20.18,94.09,19.41,85.92,26.07,23.48,28.23,23.78,4.45,26.0,2.13,3.4,0.38,3.02,3.01,4.7,0.56,4.12,1981,7,1981-07
1981-02-03,Bardiya,28.3,81.4,0.18,95.58,4.88,49.64,13.06,2.63,20.06,7.96,12.1,11.1,1.7,2.54,0.45,2.09,2.15,3.18,0.62,2.57,1981,2,1981-02
1981-01-16,Bardiya,28.3,81.4,0.0,95.85,4.48,43.9,13.72,1.53,20.34,8.66,11.66,10.34,1.34,2.41,0.22,2.19,1.58,2.66,0.24,2.42,1981,1,1981-01
1981-11-06,Bardiya,28.3,81.4,0.0,95.15,7.98,55.48,18.93,9.69,25.05,14.1,10.95,16.67,1.56,2.87,0.2,2.68,1.94,3.11,0.27,2.84,1981,11,1981-11
1981-02-27,Bardiya,28.3,81.4,0.02,95.08,5.58,37.23,19.59,4.48,27.06,14.22,12.84,18.52,2.46,4.91,0.96,3.95,3.46,5.76,1.3,4.46,1981,2,1981-02
1981-07-03,Bardiya,28.3,81.4,18.5,93.59,20.17,72.38,29.56,23.97,35.2,25.76,9.43,29.65,2.6,5.02,0.6,4.42,3.76,6.32,1.07,5.26,1981,7,1981-07
1981-03-18,Bardiya,28.3,81.4,0.02,94.78,6.64,37.66,22.19,7.04,30.55,14.62,15.92,21.43,2.52,4.96,1.0,3.96,3.32,5.4,1.15,4.26,1981,3,1981-03
1981-04-30,Bardiya,28.3,81.4,0.0,94.73,6.81,25.4,29.3,7.31,36.96,22.72,14.24,28.92,2.04,3.72,0.21,3.5,2.76,4.44,0.4,4.05,1981,4,1981-04
1981-06-02,Bardiya,28.3,81.4,1.54,94.12,11.14,36.6,31.33,14.6,38.07,24.24,13.83,31.64,2.32,4.01,0.79,3.22,2.93,4.44,1.06,3.38,1981,6,1981-06
1981-05-07,Bardiya,28.3,81.4,2.32,94.74,11.86,47.22,28.08,15.71,33.17,22.49,10.69,28.6,1.85,3.03,0.55,2.47,2.44,4.15,0.76,3.4,1981,5,1981-05
1981-07-13,Bhaktapur,27.7,85.5,7.92,77.64,14.72,85.83,18.43,15.37,22.11,15.27,6.84,19.35,2.29,4.58,0.36,4.22,2.25,4.11,0.56,3.55,1981,7,1981-07
1981-02-03,Bhaktapur,27.7,85.5,0.01,78.17,3.29,47.45,4.93,-6.27,12.02,0.28,11.74,2.02,1.96,4.72,0.62,4.1,1.96,4.1,0.79,3.31,1981,2,1981-02
1981-01-16,Bhaktapur,27.7,85.5,0.0,78.56,2.92,37.15,6.83,-7.39,14.14,1.82,12.32,2.63,1.76,3.72,0.44,3.27,1.71,2.96,0.47,2.49,1981,1,1981-01
1981-11-06,Bhaktapur,27.7,85.5,0.0,78.12,7.05,76.15,9.12,3.45,14.34,5.7,8.64,7.65,1.66,4.05,0.14,3.91,1.57,3.33,0.1,3.23,1981,11,1981-11
1981-02-27,Bhaktapur,27.7,85.5,0.02,78.02,3.67,39.07,9.33,-4.14,15.49,5.41,10.07,8.32,2.06,5.19,0.17,5.01,2.06,4.65,0.02,4.63,1981,2,1981-02
1981-07-03,Bhaktapur,27.7,85.5,23.36,77.39,14.7,90.43,17.53,15.42,20.47,14.91,5.56,18.34,1.92,4.57,0.23,4.34,1.83,3.83,0.49,3.34,1981,7,1981-07
1981-03-18,Bhaktapur,27.7,85.5,0.01,77.86,4.32,39.83,11.46,-2.68,19.73,5.01,14.72,10.82,2.43,6.02,0.64,5.38,2.33,5.21,0.72,4.48,1981,3,1981-03
1981-04-30,Bhaktapur,27.7,85.5,0.67,78.14,6.65,48.13,15.2,3.8,21.59,9.59,11.99,15.88,2.42,6.06,0.09,5.97,2.27,5.1,0.13,4.97,1981,4,1981-04
1981-06-02,Bhaktapur,27.7,85.5,3.08,77.74,11.42,70.08,17.67,11.46,23.13,12.9,10.24,19.37,2.12,4.61,0.11,4.5,1.91,3.73,0.27,3.46,1981,6,1981-06
1981-05-07,Bhaktapur,27.7,85.5,1.37,78.08,8.8,62.26,15.53,7.51,19.59,12.3,7.29,16.34,2.49,5.56,0.3,5.27,2.29,5.01,0.45,4.56,1981,5,1981-05
1981-07-13,Chitawan,27.7,84.4,6.5,91.61,18.39,79.07,26.12,22.02,29.18,22.51,6.67,26.26,1.22,2.92,0.46,2.46,1.64,2.93,0.42,2.51,1981,7,1981-07
1981-02-03,Chitawan,27.7,84.4,0.0,92.92,4.74,47.25,12.96,1.78,19.97,8.73,11.24,11.25,1.82,3.86,0.44,3.42,2.1,4.05,0.28,3.77,1981,2,1981-02
1981-01-16,Chitawan,27.7,84.4,0.0,93.23,3.65,34.11,14.02,-1.59,21.74,9.09,12.65,10.64,1.71,3.32,0.19,3.13,1.97,3.17,0.19,2.99,1981,1,1981-01
1981-11-06,Chitawan,27.7,84.4,0.0,92.59,9.3,67.2,17.86,11.33,23.18,14.08,9.09,16.7,1.68,3.4,0.62,2.78,1.92,3.1,0.93,2.17,1981,11,1981-11
1981-02-27,Chitawan,27.7,84.4,0.0,92.43,4.83,31.17,19.7,2.05,26.74,15.0,11.74,18.95,2.12,4.2,1.24,2.97,2.67,4.55,1.27,3.27,1981,2,1981-02
1981-07-03,Chitawan,27.7,84.4,36.1,91.29,18.8,90.49,24.16,22.36,25.65,22.77,2.88,24.19,2.27,4.31,0.7,3.61,3.08,4.81,0.89,3.93,1981,7,1981-07
1981-03-18,Chitawan,27.7,84.4,0.04,92.2,6.05,35.28,21.29,5.11,29.64,14.42,15.22,20.85,2.43,5.79,0.05,5.74,2.84,5.65,0.29,5.36,1981,3,1981-03
1981-04-30,Chitawan,27.7,84.4,0.18,92.26,7.16,31.29,26.08,7.63,32.69,18.61,14.07,26.3,2.5,3.85,1.03,2.82,3.03,3.99,1.45,2.54,1981,4,1981-04
1981-06-02,Chitawan,27.7,84.4,1.69,91.72,13.3,51.34,28.03,16.87,33.83,21.92,11.91,29.34,1.94,2.98,0.79,2.19,2.35,3.67,1.18,2.49,1981,6,1981-06
1981-05-07,Chitawan,27.7,84.4,1.13,92.24,11.44,49.4,26.23,14.58,30.64,22.0,8.64,27.02,1.83,3.09,0.87,2.22,2.21,2.84,1.23,1.61,1981,5,1981-05
1981-07-13,Dadeldhura,29.3,80.6,10.67,85.06,16.83,90.8,21.13,19.39,22.93,19.65,3.28,21.16,2.0,3.16,0.53,2.62,2.59,4.54,0.84,3.7,1981,7,1981-07
